,Wavenumber,B45u
0,1200,0.004498149
1,1198,0.005455351
2,1196,0.006035006999999999
3,1194,0.006126608
4,1192,0.005749346999999999
5,1190,0.005102618
6,1188,0.0044867629999999995
7,1186,0.0042210220000000005
8,1184,0.0043578390000000005
9,1182,0.004654214
10,1180,0.004563722
11,1178,0.00372176
12,1176,0.002180964
13,1174,0.000401981
14,1172,-0.001068973
15,1170,-0.0019120460000000001
16,1168,-0.002157339
17,1166,-0.0020260720000000003
18,1164,-0.0018502979999999998
19,1162,-0.0017758960000000001
20,1160,-0.001748771
21,1158,-0.001729232
22,1156,-0.0018210939999999999
23,1154,-0.002056414
24,1152,-0.002224613
25,1150,-0.001993688
26,1148,-0.00107326
27,1146,0.000598926
28,1144,0.0027364959999999997
29,1142,0.004745973
30,1140,0.005958524000000001
31,1138,0.0059048519999999995
32,1136,0.00451717
33,1134,0.002171728
34,1132,-0.000360717
35,1130,-0.0023007410000000002
36,1128,-0.003170507
37,1126,-0.002998522
38,1124,-0.002139016
39,1122,-0.0010364
40,1120,0.0002108
41,1118,0.0017396760000000001
42,1116,0.003641577
43,1114,0.005582971
44,1112,0.006988559
45,1110,0.00726001
46,1108,0.006265941
47,1106,0.004327453
48,1104,0.002238163
49,1102,0.0006929010000000001
50,1100,0.000130736
51,1098,0.000304208
52,1096,0.000707206
53,1094,0.00073112
54,1092,0.00018863200000000002
55,1090,-0.000967521
56,1088,-0.002444667
57,1086,-0.0039608379999999995
58,1084,-0.005037702
59,1082,-0.0056217030000000005
60,1080,-0.005704486
61,1078,-0.005683574
62,1076,-0.005735636
63,1074,-0.006255808000000001
64,1072,-0.007287231999999999
65,1070,-0.008764012
66,1068,-0.01019054
67,1066,-0.011210842
68,1064,-0.011233611000000001
69,1062,-0.010112592
70,1060,-0.007705224
71,1058,-0.004370299
72,1056,-0.00041195
73,1054,0.003410737
74,1052,0.006266988
75,1050,0.00730732
76,1048,0.00656696
77,1046,0.004445542
78,1044,0.001881901
79,1042,-0.000378664
80,1040,-0.001898652
81,1038,-0.003032387
82,1036,-0.004240105
83,1034,-0.005878230999999999
84,1032,-0.0077001840000000005
85,1030,-0.009424702
86,1028,-0.01059848
87,1026,-0.01093993
88,1024,-0.010218426
89,1022,-0.008501451
90,1020,-0.005788159
91,1018,-0.0022768610000000002
92,1016,0.001684109
93,1014,0.005603591
94,1012,0.009082576
95,1010,0.011620236
96,1008,0.012801885
97,1006,0.012353378
98,1004,0.010341374
99,1002,0.007128857
100,1000,0.003462673
101,998,0.00037277
102,996,-0.001233526
103,994,-0.00112834
104,992,0.000193932
105,990,0.00179628
106,988,0.002704963
107,986,0.00244572
108,984,0.001247862
109,982,-0.000171646
110,980,-0.001123295
111,978,-0.001424398
112,976,-0.00147912
113,974,-0.001767414
114,972,-0.002443612
115,970,-0.0032035559999999998
116,968,-0.0035045659999999998
117,966,-0.0029408409999999996
118,964,-0.0015692360000000001
119,962,0.000285516
120,960,0.002134444
121,958,0.003564175
122,956,0.00432213
123,954,0.004464155
124,952,0.00419539
125,950,0.0038155990000000002
126,948,0.003510695
127,946,0.003437866
128,944,0.0034579040000000004
129,942,0.0033118109999999996
130,940,0.0027860740000000004
131,938,0.001968404
132,936,0.001137538
133,934,0.000682863
134,932,0.0007004960000000001
135,930,0.001054202
136,928,0.0013310529999999998
137,926,0.0012258619999999999
138,924,0.000587456
139,922,-0.000516618
140,920,-0.001868184
141,918,-0.003096415
142,916,-0.00388683
143,914,-0.003875187
144,912,-0.0029351570000000003
145,910,-0.001329012
146,908,0.000400267
147,906,0.00166263
148,904,0.0019603999999999997
149,902,0.0014239460000000002
150,900,0.000540239
