,Wavenumber,IR_KP46A
0,1200,0.004481357
1,1198,0.005235561
2,1196,0.005704516999999999
3,1194,0.005827129
4,1192,0.00580125
5,1190,0.005742668
6,1188,0.006171114
7,1186,0.00712488
8,1184,0.007840374
9,1182,0.007798518000000001
10,1180,0.006717764
11,1178,0.0045449159999999995
12,1176,0.001805446
13,1174,-0.00048095099999999997
14,1172,-0.001283978
15,1170,-0.000893383
16,1168,-0.000269203
17,1166,0.000161706
18,1164,0.00020293400000000002
19,1162,-0.000229523
20,1160,-0.001090176
21,1158,-0.0020465120000000003
22,1156,-0.00277349
23,1154,-0.003291355
24,1152,-0.003614555
25,1150,-0.003529434
26,1148,-0.002636578
27,1146,-0.001040101
28,1144,0.0009339489999999999
29,1142,0.003006843
30,1140,0.00488241
31,1138,0.0059923319999999995
32,1136,0.0059706509999999996
33,1134,0.0047644029999999995
34,1132,0.00275273
35,1130,8.162100000000001e-05
36,1128,-0.0028004909999999996
37,1126,-0.005361151999999999
38,1124,-0.007158175
39,1122,-0.00793033
40,1120,-0.0071040999999999995
41,1118,-0.00453486
42,1116,-0.00035309800000000004
43,1114,0.004607034
44,1112,0.009231584000000001
45,1110,0.012367339
46,1108,0.01325822
47,1106,0.011719491
48,1104,0.008729876999999999
49,1102,0.005511414
50,1100,0.0032456029999999997
51,1098,0.0022422920000000003
52,1096,0.001808272
53,1094,0.000830953
54,1092,-0.001192296
55,1090,-0.004390085
56,1088,-0.007784594000000001
57,1086,-0.010465697
58,1084,-0.011889945
59,1082,-0.012155355
60,1080,-0.011691578000000001
61,1078,-0.010468155
62,1076,-0.0076126530000000005
63,1074,-0.003854495
64,1072,-0.000598236
65,1070,0.0017029410000000001
66,1068,0.003164668
67,1066,0.0030200390000000004
68,1064,0.000608963
69,1062,-0.0030167640000000003
70,1060,-0.005950484
71,1058,-0.00809712
72,1056,-0.009047954
73,1054,-0.007753652
74,1052,-0.004703785
75,1050,-0.002299994
76,1048,-0.002127938
77,1046,-0.00375295
78,1044,-0.005996347
79,1042,-0.007758104
80,1040,-0.00743411
81,1038,-0.004828451
82,1036,-0.000887682
83,1034,0.002316659
84,1032,0.003969816
85,1030,0.00424808
86,1028,0.0030758179999999997
87,1026,0.0007253180000000001
88,1024,-0.0018923129999999999
89,1022,-0.004341848
90,1020,-0.006030329
91,1018,-0.006468221999999999
92,1016,-0.004733753
93,1014,-0.0010437139999999998
94,1012,0.002976883
95,1010,0.00586062
96,1008,0.007290781
97,1006,0.007477489
98,1004,0.006937648
99,1002,0.006174815
100,1000,0.005487708000000001
101,998,0.004924161
102,996,0.0043778309999999996
103,994,0.0038789059999999997
104,992,0.0038490340000000003
105,990,0.004414
106,988,0.005060424
107,986,0.004862728
108,984,0.00316024
109,982,3.7171999999999996e-05
110,980,-0.00371586
111,978,-0.006940084
112,976,-0.008549958
113,974,-0.008116956
114,972,-0.006082648
115,970,-0.003593696
116,968,-0.001519166
117,966,-0.000100144
118,964,0.0008541410000000001
119,962,0.001551349
120,960,0.002234579
121,958,0.003054008
122,956,0.004092446
123,954,0.00503111
124,952,0.005548371
125,950,0.005534521999999999
126,948,0.005117259
127,946,0.004595735
128,944,0.00392728
129,942,0.003095612
130,940,0.002371498
131,938,0.0017037139999999998
132,936,0.0011144389999999998
133,934,0.000802038
134,932,0.001081654
135,930,0.001941765
136,928,0.002511363
137,926,0.0021934710000000002
138,924,0.0007886260000000001
139,922,-0.0017073729999999999
140,920,-0.004717338
141,918,-0.007319453
142,916,-0.00855759
143,914,-0.007974359
144,912,-0.0056898619999999995
145,910,-0.002229436
146,908,0.001550178
147,906,0.004593965
148,904,0.006096771
149,902,0.00605465
150,900,0.004892506
