,Wavenumber,IR_KP206
0,1200,0.0024201970000000002
1,1198,0.00353217
2,1196,0.004555138
3,1194,0.00546999
4,1192,0.006321808000000001
5,1190,0.007043603000000001
6,1188,0.0077261709999999996
7,1186,0.008426319
8,1184,0.008644879
9,1182,0.008077261
10,1180,0.006576256
11,1178,0.004115714
12,1176,0.001154074
13,1174,-0.0013169820000000002
14,1172,-0.002540893
15,1170,-0.002628875
16,1168,-0.002176713
17,1166,-0.001656603
18,1164,-0.001719694
19,1162,-0.002621169
20,1160,-0.00400995
21,1158,-0.005017742
22,1156,-0.005473368
23,1154,-0.005176508
24,1152,-0.0039645570000000005
25,1150,-0.00203953
26,1148,3.455e-06
27,1146,0.002036975
28,1144,0.003898887
29,1142,0.005330395
30,1140,0.005877409
31,1138,0.005744978
32,1136,0.005102008
33,1134,0.00395897
34,1132,0.002630731
35,1130,0.0014972260000000002
36,1128,0.000620385
37,1126,-2.6852e-05
38,1124,-0.000717742
39,1122,-0.0014094160000000001
40,1120,-0.001746151
41,1118,-0.0015463760000000001
42,1116,-0.0008897260000000001
43,1114,0.000175506
44,1112,0.001589465
45,1110,0.0028780140000000004
46,1108,0.0034982909999999997
47,1106,0.003602858
48,1104,0.0037140909999999997
49,1102,0.004208153
50,1100,0.00474148
51,1098,0.0053662269999999995
52,1096,0.00587257
53,1094,0.005156215
54,1092,0.002680272
55,1090,-0.0012053069999999999
56,1088,-0.005876218000000001
57,1086,-0.010603025
58,1084,-0.014482202
59,1082,-0.016522536
60,1080,-0.016492455
61,1078,-0.014719691000000002
62,1076,-0.011813873999999999
63,1074,-0.008011929000000001
64,1072,-0.0033505859999999996
65,1070,0.001153782
66,1068,0.004859465
67,1066,0.007218336
68,1064,0.007854682
69,1062,0.006791156
70,1060,0.004522031
71,1058,0.002542356
72,1056,0.0016101479999999998
73,1054,0.001107563
74,1052,0.000955818
75,1050,0.000743178
76,1048,4.6251e-05
77,1046,-0.001403108
78,1044,-0.003191693
79,1042,-0.00480995
80,1040,-0.006431991
81,1038,-0.008136199
82,1036,-0.009703335
83,1034,-0.011168803
84,1032,-0.011932426000000001
85,1030,-0.011588593000000001
86,1028,-0.010029185999999999
87,1026,-0.007441896999999999
88,1024,-0.0045817670000000005
89,1022,-0.002143848
90,1020,-0.00038803800000000005
91,1018,0.000884325
92,1016,0.00201787
93,1014,0.003220082
94,1012,0.00457451
95,1010,0.005806036
96,1008,0.006519212
97,1006,0.006621845
98,1004,0.005968684
99,1002,0.0046658820000000005
100,1000,0.003148005
101,998,0.001849542
102,996,0.00086533
103,994,0.000526988
104,992,0.001077866
105,990,0.002319095
106,988,0.003764012
107,986,0.005074525
108,984,0.005917932
109,982,0.005750911
110,980,0.004407123
111,978,0.002511569
112,976,0.000361512
113,974,-0.001639667
114,972,-0.002971606
115,970,-0.0036715420000000003
116,968,-0.003778188
117,966,-0.003297129
118,964,-0.002407944
119,962,-0.001405024
120,960,-0.00031192599999999997
121,958,0.001140033
122,956,0.002710186
123,954,0.0037123990000000003
124,952,0.004295707
125,950,0.004563787
126,948,0.004344756
127,946,0.0037820999999999996
128,944,0.003181742
129,942,0.002449176
130,940,0.0013142689999999999
131,938,7.863399999999999e-05
132,936,-0.0007817589999999999
133,934,-0.001270455
134,932,-0.001154106
135,930,-0.000195561
136,928,0.00106177
137,926,0.001862463
138,924,0.0016790289999999999
139,922,0.000486922
140,920,-0.001316144
141,918,-0.003261817
142,916,-0.004588138
143,914,-0.004549312
144,912,-0.003158278
145,910,-0.00112594
146,908,0.000565422
147,906,0.0017116260000000002
148,904,0.002350329
149,902,0.002438075
150,900,0.00212614
