,Wavenumber,M10
0,1200,0.004497484
1,1198,0.00578328
2,1196,0.0067399009999999995
3,1194,0.007385811999999999
4,1192,0.007760976
5,1190,0.007975366999999999
6,1188,0.008098586999999999
7,1186,0.008110699
8,1184,0.007731733
9,1182,0.0067917559999999995
10,1180,0.005037774
11,1178,0.002489887
12,1176,-0.000427599
13,1174,-0.0028259709999999996
14,1172,-0.004068198
15,1170,-0.004076091
16,1168,-0.003191973
17,1166,-0.0019095529999999998
18,1164,-0.00092062
19,1162,-0.000573941
20,1160,-0.00079489
21,1158,-0.0011809589999999999
22,1156,-0.001485165
23,1154,-0.0015013029999999998
24,1152,-0.0010332730000000001
25,1150,3.989e-05
26,1148,0.001562583
27,1146,0.003292565
28,1144,0.004904810999999999
29,1142,0.0061459259999999995
30,1140,0.006662398000000001
31,1138,0.006268341
32,1136,0.004924606
33,1134,0.002784925
34,1132,0.00016851099999999999
35,1130,-0.002284384
36,1128,-0.004037268
37,1126,-0.004804101
38,1124,-0.004629404
39,1122,-0.003627718
40,1120,-0.001973897
41,1118,0.000142111
42,1116,0.002469978
43,1114,0.004640686
44,1112,0.006042975
45,1110,0.00624491
46,1108,0.0052337009999999995
47,1106,0.0034895779999999997
48,1104,0.0018647000000000002
49,1102,0.001227617
50,1100,0.002052558
51,1098,0.0039784420000000004
52,1096,0.005839283000000001
53,1094,0.006343095
54,1092,0.004774957
55,1090,0.001229859
56,1088,-0.0034538859999999998
57,1086,-0.008103389
58,1084,-0.011588147
59,1082,-0.013378187
60,1080,-0.013529603999999999
61,1078,-0.012414251000000001
62,1076,-0.010438042
63,1074,-0.008128738
64,1072,-0.005976268000000001
65,1070,-0.0044041259999999995
66,1068,-0.003631872
67,1066,-0.003766075
68,1064,-0.004616075999999999
69,1062,-0.005697685
70,1060,-0.006206324
71,1058,-0.0054433680000000005
72,1056,-0.0030601390000000003
73,1054,0.000628188
74,1052,0.004685578
75,1050,0.007781661
76,1048,0.008870428
77,1046,0.007600365
78,1044,0.004417842
79,1042,0.000289184
80,1040,-0.003597366
81,1038,-0.0064586290000000005
82,1036,-0.008160765
83,1034,-0.009078394
84,1032,-0.009631206
85,1030,-0.01009711
86,1028,-0.010508687
87,1026,-0.01037677
88,1024,-0.009003246999999999
89,1022,-0.006208941999999999
90,1020,-0.002398796
91,1018,0.001749017
92,1016,0.005372541
93,1014,0.007755827
94,1012,0.008673675
95,1010,0.008535031
96,1008,0.00788497
97,1006,0.0070762590000000005
98,1004,0.006079105
99,1002,0.004745131
100,1000,0.002958024
101,998,0.000898284
102,996,-0.000913689
103,994,-0.001817014
104,992,-0.001465583
105,990,0.00015889700000000002
106,988,0.002502451
107,986,0.004880120999999999
108,984,0.006585964000000001
109,982,0.007086999
110,980,0.006250473
111,978,0.004418177
112,976,0.002000881
113,974,-0.000552306
114,972,-0.002958565
115,970,-0.004837305
116,968,-0.005997738000000001
117,966,-0.006310053
118,964,-0.005777432
119,962,-0.004384151
120,960,-0.00234853
121,958,-9.225e-06
122,956,0.002197464
123,954,0.004040608
124,952,0.0052463909999999996
125,950,0.005808877
126,948,0.0057628409999999995
127,946,0.005307213000000001
128,944,0.0044893220000000005
129,942,0.003356988
130,940,0.00196031
131,938,0.000602171
132,936,-0.000446181
133,934,-0.000807357
134,932,-0.00034336400000000003
135,930,0.00077445
136,928,0.001907187
137,926,0.002504062
138,924,0.0020946470000000003
139,922,0.000731522
140,920,-0.001206821
141,918,-0.003094835
142,916,-0.004268576
143,914,-0.004318869
144,912,-0.003380423
145,910,-0.001655628
146,908,0.00025838
147,906,0.0018378379999999998
148,904,0.002698259
149,902,0.0028467009999999997
150,900,0.002519831
