,Wavenumber,C1721
0,1200,0.003416411
1,1198,0.004623245
2,1196,0.0056370280000000005
3,1194,0.006611601999999999
4,1192,0.00729813
5,1190,0.007678201999999999
6,1188,0.008103434
7,1186,0.008424109
8,1184,0.008385866
9,1182,0.007789546
10,1180,0.006104284000000001
11,1178,0.003510203
12,1176,0.000463219
13,1174,-0.002283145
14,1172,-0.003768915
15,1170,-0.003835188
16,1168,-0.002751563
17,1166,-0.000863273
18,1164,0.000821705
19,1162,0.001763196
20,1160,0.0016384289999999998
21,1158,0.000153806
22,1156,-0.00211657
23,1154,-0.004316415
24,1152,-0.005672531
25,1150,-0.0052453790000000005
26,1148,-0.003182887
27,1146,-0.000162632
28,1144,0.0029500520000000003
29,1142,0.005137947
30,1140,0.0063176759999999995
31,1138,0.006677983
32,1136,0.006191299
33,1134,0.005347033
34,1132,0.004089158
35,1130,0.002058181
36,1128,-0.000485405
37,1126,-0.0033423309999999996
38,1124,-0.0059231530000000004
39,1122,-0.007385684
40,1120,-0.007408281
41,1118,-0.00548272
42,1116,-0.001779669
43,1114,0.002431214
44,1112,0.006158755
45,1110,0.008289831999999999
46,1108,0.008226828
47,1106,0.006604874
48,1104,0.004310088
49,1102,0.0028728990000000004
50,1100,0.003596259
51,1098,0.005982311
52,1096,0.008833152
53,1094,0.010484906
54,1092,0.009247923
55,1090,0.004839143
56,1088,-0.001912957
57,1086,-0.009312799
58,1084,-0.015079293999999998
59,1082,-0.018291272
60,1080,-0.018697296000000002
61,1078,-0.016603158
62,1076,-0.013236176
63,1074,-0.009447084
64,1072,-0.0056973430000000005
65,1070,-0.002612057
66,1068,0.000100661
67,1066,0.00225111
68,1064,0.003779437
69,1062,0.005090497
70,1060,0.005911464
71,1058,0.005961902
72,1056,0.005138263
73,1054,0.002738778
74,1052,-0.000877396
75,1050,-0.005283406
76,1048,-0.009820202
77,1046,-0.013089048
78,1044,-0.014553327
79,1042,-0.014188947
80,1040,-0.011941262
81,1038,-0.009085899
82,1036,-0.006268001
83,1034,-0.003713593
84,1032,-0.0018471820000000002
85,1030,-0.000317553
86,1028,0.000858444
87,1026,0.001359728
88,1024,0.001524446
89,1022,0.0008986889999999999
90,1020,-0.00029335
91,1018,-0.001062163
92,1016,-0.001327327
93,1014,-0.000758581
94,1012,0.0007790960000000001
95,1010,0.0026345640000000003
96,1008,0.004775752
97,1006,0.0069009580000000004
98,1004,0.00851896
99,1002,0.009724823
100,1000,0.009768607
101,998,0.008063139
102,996,0.004718219
103,994,-7.0742e-05
104,992,-0.004747804
105,990,-0.0073602830000000005
106,988,-0.007210311
107,986,-0.004223175
108,984,-1.2855999999999999e-05
109,982,0.003251545
110,980,0.004750434
111,978,0.004237761
112,976,0.002445511
113,974,0.0007295439999999999
114,972,-0.000674169
115,970,-0.0015291810000000001
116,968,-0.001882881
117,966,-0.002111688
118,964,-0.001774715
119,962,-0.000839753
120,960,0.000322215
121,958,0.001903465
122,956,0.003325061
123,954,0.004393161
124,952,0.005288245
125,950,0.005543441
126,948,0.005373259
127,946,0.00512673
128,944,0.00436433
129,942,0.0034552159999999997
130,940,0.0023558060000000002
131,938,0.0011165580000000001
132,936,0.000452254
133,934,0.000360541
134,932,0.0009212910000000001
135,930,0.002215657
136,928,0.0030570709999999997
137,926,0.0030234359999999996
138,924,0.0018092479999999998
139,922,-0.000957965
140,920,-0.004230603
141,918,-0.0070533390000000005
142,916,-0.008729824
143,914,-0.008134883
144,912,-0.0058162069999999995
145,910,-0.002520263
146,908,0.0010205610000000001
147,906,0.003354855
148,904,0.00438335
149,902,0.004457887
150,900,0.003546273
