,Wavenumber,CRE01KP
0,1200,0.002895736
1,1198,0.004113645
2,1196,0.005320658000000001
3,1194,0.00638237
4,1192,0.007234443
5,1190,0.007886449
6,1188,0.008339441
7,1186,0.0085931
8,1184,0.008516745
9,1182,0.007835923
10,1180,0.006221924
11,1178,0.003706868
12,1176,0.000823598
13,1174,-0.001530776
14,1172,-0.002649508
15,1170,-0.002336375
16,1168,-0.000984254
17,1166,0.000604216
18,1164,0.001554876
19,1162,0.001414827
20,1160,0.000277986
21,1158,-0.0014492429999999998
22,1156,-0.003276324
23,1154,-0.004729936
24,1152,-0.005377143000000001
25,1150,-0.004968816
26,1148,-0.003502882
27,1146,-0.001248824
28,1144,0.0013678229999999998
29,1142,0.003817391
30,1140,0.005702967
31,1138,0.006761288000000001
32,1136,0.006928996999999999
33,1134,0.006319462
34,1132,0.005285262
35,1130,0.004138
36,1128,0.003045152
37,1126,0.0018560679999999998
38,1124,0.000419325
39,1122,-0.00126696
40,1120,-0.0027619059999999997
41,1118,-0.0034766809999999997
42,1116,-0.002827713
43,1114,-0.0009249639999999999
44,1112,0.001493258
45,1110,0.003231533
46,1108,0.0035034999999999997
47,1106,0.002211397
48,1104,0.000349788
49,1102,-0.000702987
50,1100,0.000386856
51,1098,0.003673946
52,1096,0.007990698000000001
53,1094,0.011129811000000002
54,1092,0.011396152
55,1090,0.0081304
56,1088,0.002271481
57,1086,-0.004594424000000001
58,1084,-0.01051259
59,1082,-0.014567821000000002
60,1080,-0.016544643
61,1078,-0.017020171
62,1076,-0.016179887
63,1074,-0.014262655
64,1072,-0.011149626000000001
65,1070,-0.0071926659999999995
66,1068,-0.002760023
67,1066,0.001083743
68,1064,0.0035924840000000004
69,1062,0.004084533
70,1060,0.0027808570000000003
71,1058,0.00034703
72,1056,-0.001515546
73,1054,-0.0016350260000000001
74,1052,0.00056932
75,1050,0.004330368
76,1048,0.008475226
77,1046,0.011320096000000002
78,1044,0.011860529
79,1042,0.009556835999999999
80,1040,0.004887816
81,1038,-0.001788855
82,1036,-0.00950479
83,1034,-0.01709788
84,1032,-0.022755482
85,1030,-0.025195667
86,1028,-0.023678087999999996
87,1026,-0.018911426000000002
88,1024,-0.012335865
89,1022,-0.006103113
90,1020,-0.001559494
91,1018,0.000744498
92,1016,0.001420408
93,1014,0.001291515
94,1012,0.001338679
95,1010,0.001886485
96,1008,0.002924565
97,1006,0.003976916
98,1004,0.004681434
99,1002,0.00460489
100,1000,0.003753104
101,998,0.0023871179999999997
102,996,0.001095356
103,994,0.00037533300000000005
104,992,0.000693538
105,990,0.002145424
106,988,0.004412473
107,986,0.0067053980000000004
108,984,0.008290803000000001
109,982,0.008671782
110,980,0.007813498
111,978,0.0059989940000000005
112,976,0.0036397879999999997
113,974,0.001061572
114,972,-0.001401833
115,970,-0.003477698
116,968,-0.004859762
117,966,-0.005302799
118,964,-0.004687746
119,962,-0.003149496
120,960,-0.00107368
121,958,0.001095853
122,956,0.0029999790000000003
123,954,0.004377283
124,952,0.005109137
125,950,0.00529301
126,948,0.005143078
127,946,0.004837924
128,944,0.004442547
129,942,0.003941281
130,940,0.003267692
131,938,0.002455262
132,936,0.001683676
133,934,0.001279332
134,932,0.0014117939999999999
135,930,0.0020138770000000003
136,928,0.002675605
137,926,0.0027833000000000003
138,924,0.001848601
139,922,-0.000195059
140,920,-0.00292323
141,918,-0.005510615999999999
142,916,-0.007072279
143,914,-0.006998536
144,912,-0.005258514000000001
145,910,-0.002406503
146,908,0.000655723
147,906,0.0030812879999999997
148,904,0.004360214
149,902,0.004518198
150,900,0.003989814
