,Wavenumber,K47
0,1200,0.003746007
1,1198,0.0049779690000000005
2,1196,0.006028965
3,1194,0.006820718000000001
4,1192,0.007387011999999999
5,1190,0.007802514
6,1188,0.008149996999999999
7,1186,0.008470034
8,1184,0.0086973
9,1182,0.008580474
10,1180,0.00772538
11,1178,0.00594194
12,1176,0.0034802229999999997
13,1174,0.000940504
14,1172,-0.0010056519999999999
15,1170,-0.001950827
16,1168,-0.001873602
17,1166,-0.001194226
18,1164,-0.000557883
19,1162,-0.000508883
20,1160,-0.001252853
21,1158,-0.002744872
22,1156,-0.00459795
23,1154,-0.006236581999999999
24,1152,-0.006912344
25,1150,-0.006108588000000001
26,1148,-0.003733984
27,1146,-0.00032367400000000003
28,1144,0.003276883
29,1142,0.006140254
30,1140,0.007703811
31,1138,0.007724718
32,1136,0.006454364000000001
33,1134,0.004333633
34,1132,0.002010984
35,1130,-5.853e-05
36,1128,-0.0015354210000000001
37,1126,-0.002450748
38,1124,-0.0028959
39,1122,-0.003065332
40,1120,-0.00282951
41,1118,-0.002018862
42,1116,-0.000388182
43,1114,0.00180407
44,1112,0.004080752
45,1110,0.005689063
46,1108,0.006317700999999999
47,1106,0.0059759669999999996
48,1104,0.0053132430000000005
49,1102,0.004977446
50,1100,0.0056530009999999995
51,1098,0.007194461
52,1096,0.008890773000000001
53,1094,0.009373424
54,1092,0.007809366999999999
55,1090,0.0037797620000000003
56,1088,-0.001927849
57,1086,-0.008107376
58,1084,-0.013010602
59,1082,-0.015634568
60,1080,-0.01546225
61,1078,-0.013148365
62,1076,-0.00943292
63,1074,-0.005602930999999999
64,1072,-0.002342295
65,1070,-0.000412276
66,1068,0.000241265
67,1066,-0.00036962599999999996
68,1064,-0.0015579020000000001
69,1062,-0.003086505
70,1060,-0.004395475
71,1058,-0.005421965
72,1056,-0.005543887
73,1054,-0.004782074
74,1052,-0.003127505
75,1050,-0.001292817
76,1048,0.00047960300000000005
77,1046,0.0016246779999999998
78,1044,0.002243782
79,1042,0.002338872
80,1040,0.002411429
81,1038,0.002052805
82,1036,0.001005347
83,1034,-0.001213448
84,1032,-0.004223546
85,1030,-0.00771585
86,1028,-0.010826342
87,1026,-0.013148058999999998
88,1024,-0.014203691000000001
89,1022,-0.014264188
90,1020,-0.013364378
91,1018,-0.011827126
92,1016,-0.009566175
93,1014,-0.006751961999999999
94,1012,-0.003262338
95,1010,0.00055973
96,1008,0.004424423
97,1006,0.007571574
98,1004,0.009382782
99,1002,0.009211674
100,1000,0.00718099
101,998,0.003919814000000001
102,996,0.000679629
103,994,-0.001473749
104,992,-0.001628869
105,990,0.00032763400000000004
106,988,0.003849417
107,986,0.00773209
108,984,0.010803493999999999
109,982,0.012150905
110,980,0.011521301000000001
111,978,0.009076339000000001
112,976,0.005456555
113,974,0.001327031
114,972,-0.002572525
115,970,-0.005705266
116,968,-0.0076657109999999995
117,966,-0.008314939
118,964,-0.007703586
119,962,-0.006110945
120,960,-0.0038062079999999997
121,958,-0.001126905
122,956,0.00163862
123,954,0.004108603
124,952,0.005971666
125,950,0.006998665
126,948,0.007166078
127,946,0.006627734000000001
128,944,0.0056432669999999996
129,942,0.004390494
130,940,0.003041711
131,938,0.0017565089999999998
132,936,0.000839915
133,934,0.0005700169999999999
134,932,0.00104849
135,930,0.0020576929999999998
136,928,0.0030618840000000004
137,926,0.0033649179999999997
138,924,0.0025127310000000003
139,922,0.000503942
140,920,-0.002095809
141,918,-0.004417158
142,916,-0.005603871
143,914,-0.005211734
144,912,-0.003370123
145,910,-0.000781417
146,908,0.00167544
147,906,0.003301299
148,904,0.0038023429999999997
149,902,0.003335578
150,900,0.00243811
