,Wavenumber,IR_KP170a
0,1200,0.002869708
1,1198,0.0035629570000000003
2,1196,0.004260880999999999
3,1194,0.004888413
4,1192,0.005270529
5,1190,0.00559476
6,1188,0.006371153
7,1186,0.007428379000000001
8,1184,0.007862383
9,1182,0.007347022
10,1180,0.005802646999999999
11,1178,0.003424973
12,1176,0.000614744
13,1174,-0.0017476710000000001
14,1172,-0.002803495
15,1170,-0.002537989
16,1168,-0.0015941870000000002
17,1166,-0.000367773
18,1164,0.000500311
19,1162,0.0005103390000000001
20,1160,-0.000602691
21,1158,-0.002416281
22,1156,-0.004167549
23,1154,-0.005240593
24,1152,-0.005328848000000001
25,1150,-0.004167191
26,1148,-0.0019680360000000003
27,1146,0.000657389
28,1144,0.003099841
29,1142,0.00513329
30,1140,0.006389469
31,1138,0.00675363
32,1136,0.006387128000000001
33,1134,0.005441034
34,1132,0.004080632
35,1130,0.002415558
36,1128,0.000517365
37,1126,-0.0013336239999999998
38,1124,-0.0030853729999999998
39,1122,-0.004501419
40,1120,-0.005259374
41,1118,-0.00486431
42,1116,-0.003334723
43,1114,-0.00125336
44,1112,0.0008053639999999999
45,1110,0.002302186
46,1108,0.00277899
47,1106,0.002447047
48,1104,0.002166881
49,1102,0.002890283
50,1100,0.00463255
51,1098,0.006901163
52,1096,0.00872304
53,1094,0.008708226
54,1092,0.006027083000000001
55,1090,0.001001984
56,1088,-0.004900385
57,1086,-0.010063376
58,1084,-0.013474291000000001
59,1082,-0.014590707
60,1080,-0.013669252
61,1078,-0.011442261
62,1076,-0.008601859
63,1074,-0.005707317
64,1072,-0.003055815
65,1070,-0.0008230789999999999
66,1068,0.0007273
67,1066,0.00171163
68,1064,0.001988585
69,1062,0.001603829
70,1060,0.001015385
71,1058,0.00041040699999999995
72,1056,0.00027309700000000003
73,1054,0.000905685
74,1052,0.001880441
75,1050,0.002864855
76,1048,0.0036083309999999998
77,1046,0.003901634
78,1044,0.003182703
79,1042,0.001086156
80,1040,-0.0018632070000000002
81,1038,-0.005510499
82,1036,-0.009789124
83,1034,-0.013716058
84,1032,-0.015734096
85,1030,-0.015135841
86,1028,-0.012555341000000001
87,1026,-0.008486496
88,1024,-0.003842345
89,1022,-5.2711000000000004e-05
90,1020,0.002173724
91,1018,0.003064237
92,1016,0.003430987
93,1014,0.0038113390000000004
94,1012,0.004135431
95,1010,0.004596083
96,1008,0.005253631
97,1006,0.005910229
98,1004,0.005991026
99,1002,0.00513934
100,1000,0.003532662
101,998,0.001614803
102,996,-3.2329e-05
103,994,-0.000647892
104,992,2.0062000000000002e-05
105,990,0.0015466020000000002
106,988,0.0030314340000000004
107,986,0.004211467
108,984,0.00491162
109,982,0.00493987
110,980,0.004221261
111,978,0.003008945
112,976,0.001403937
113,974,-0.000212642
114,972,-0.0015868289999999999
115,970,-0.00248118
116,968,-0.0028335920000000002
117,966,-0.002635685
118,964,-0.002139693
119,962,-0.0013534279999999998
120,960,-0.000344678
121,958,0.000833127
122,956,0.001978334
123,954,0.0027302090000000004
124,952,0.002942122
125,950,0.002960559
126,948,0.002817103
127,946,0.002493183
128,944,0.00210444
129,942,0.0017709020000000002
130,940,0.0014933289999999998
131,938,0.001091389
132,936,0.00066542
133,934,0.000602921
134,932,0.00071059
135,930,0.0007777560000000001
136,928,0.0007221980000000001
137,926,0.000493479
138,924,-1.1125e-05
139,922,-0.0009916
140,920,-0.0022935570000000003
141,918,-0.00341103
142,916,-0.003919024
143,914,-0.003482714
144,912,-0.002352015
145,910,-0.0008315369999999999
146,908,0.0008420239999999999
147,906,0.002066486
148,904,0.002598903
149,902,0.0027616859999999997
150,900,0.0027147190000000004
